CentreId,CentreName,PostCode,SquareMetres,NumberUnits,Details
258,Rochdale Exchange Shopping Centre,OL16 1BA,29729,50,"258 Rochdale Exchange Shopping Centre OL16 1BA 29,729 50"
259,West 12 Shopping and Leisure,W12 8PP,29729,36,"259 West 12 Shopping and Leisure W12 8PP 29,729 36"
260,Pentagon Centre,ME4 4HY,29729,97,"260 Pentagon Centre ME4 4HY 29,729 97"
261,Beehive Centre,CB1 3ET,29729,8,"261 Beehive Centre CB1 3ET 29,729 8"
262,Galleries Shopping Centre,BS1 3XD,29729,120,"262 Galleries Shopping Centre BS1 3XD 29,729 120"
263,Grosvenor Centre,NN1 2EW,29730,75,"263 Grosvenor Centre NN1 2EW 29,730 75"
264,The Galleria,AL10 0XR,29915,91,"264 The Galleria AL10 0XR 29,915 91"
265,The Coliseum,L65 9HD,29915,20,"265 The Coliseum L65 9HD 29,915 20"
266,Concourse Shopping Centre,WN8 6LN,30658,93,"266 Concourse Shopping Centre WN8 6LN 30,658 93"
267,Lewisham Shopping Centre,SE13 7HB,30658,88,"267 Lewisham Shopping Centre SE13 7HB 30,658 88"
268,Gunwharf Quays,PO1 3TZ,30844,84,"268 Gunwharf Quays PO1 3TZ 30,844 84"
269,Fishergate Shopping Centre,PR1 8HJ,30936,35,"269 Fishergate Shopping Centre PR1 8HJ 30,936 35"
270,Weavers Wharf,DY11 6YR,31000,14,"270 Weavers Wharf DY11 6YR 31,000 14"
271,Arndale Centre,M32 9BD,31587,124,"271 Arndale Centre M32 9BD 31,587 124"
272,Culver Shopping Centre,CO1 1JQ,31587,35,"272 Culver Shopping Centre CO1 1JQ 31,587 35"
273,One Stop Shopping Centre,B42 1AA,31633,52,"273 One Stop Shopping Centre B42 1AA 31,633 52"
274,Kings Mall Shopping Centre,W6 9HW,31866,45,"274 Kings Mall Shopping Centre W6 9HW 31,866 45"
275,The Ridings Shopping Centre,WF1 1DS,32052,98,"275 The Ridings Shopping Centre WF1 1DS 32,052 98"
276,Gallagher Retail Park,WS10 9QY,32516,7,"276 Gallagher Retail Park WS10 9QY 32,516 7"
277,Gemini Retail Park,WA5 5TY,32516,7,"277 Gemini Retail Park WA5 5TY 32,516 7"
278,Royal Victoria Place Shopping Centre,TN1 2SS,32516,90,"278 Royal Victoria Place Shopping Centre TN1 2SS 32,516 90"
279,Merseyway Shopping Centre,SK1 1PD,32516,92,"279 Merseyway Shopping Centre SK1 1PD 32,516 92"
280,The Light,LS1 8TL,32516,26,"280 The Light LS1 8TL 32,516 26"
281,The Ashley Shopping Centre,KT18 5DB,32534,46,"281 The Ashley Shopping Centre KT18 5DB 32,534 46"
282,Crystal Peaks Shopping Centre,S20 7PJ,32922,70,"282 Crystal Peaks Shopping Centre S20 7PJ 32,922 70"
283,The Marlowes Shopping Centre,HP1 1DX,32981,74,"283 The Marlowes Shopping Centre HP1 1DX 32,981 74"
284,Lakeside Retail Park,RM20 3FG,33050,21,"284 Lakeside Retail Park RM20 3FG 33,050 21"
285,Orbital Shopping Park,SN25,33352,5,"285 Orbital Shopping Park SN25 33,352 5"
286,Castlegate Shopping Centre,TS18 1BG,33445,53,"286 Castlegate Shopping Centre TS18 1BG 33,445 53"
287,St John's Shopping Centre,L1 1LX,33445,99,"287 St John's Shopping Centre L1 1LX 33,445 99"
288,Hempstead Valley Shopping Centre,ME7 3PD,33445,50,"288 Hempstead Valley Shopping Centre ME7 3PD 33,445 50"
289,Main Square Shopping Centre,GU15 3SW,33445,100,"289 Main Square Shopping Centre GU15 3SW 33,445 100"
290,St Marks Shopping Park,LN6 7TP,33817,20,"290 St Marks Shopping Park LN6 7TP 33,817 20"
291,Port Arcades,CH65 0AP,33909,60,"291 Port Arcades CH65 0AP 33,909 60"
292,Retail World Retail Park,NE11 0BD,34495,26,"292 Retail World Retail Park NE11 0BD 34,495 26"
293,St Nicholas Shopping Centre,SM1 1AY,34839,64,"293 St Nicholas Shopping Centre SM1 1AY 34,839 64"
294,Kirkgate Centre,BD1 1TQ,35117,65,"294 Kirkgate Centre BD1 1TQ 35,117 65"
295,Fremlin Walk,ME14,35209,45,"295 Fremlin Walk ME14 35,209 45"
296,Two Rivers,TW18 4WB,35268,42,"296 Two Rivers TW18 4WB 35,268 42"
297,Leeds Shopping Plaza,LS1 5ER,35303,50,"297 Leeds Shopping Plaza LS1 5ER 35,303 50"
298,Chelmsley Wood Shopping Centre,B37 5TS,35303,79,"298 Chelmsley Wood Shopping Centre B37 5TS 35,303 79"
299,Teesside Retail Park,TS17 7BU,35487,33,"299 Teesside Retail Park TS17 7BU 35,487 33"
300,Castle Quay Shopping Centre,OX16 8UH,35768,78,"300 Castle Quay Shopping Centre OX16 8UH 35,768 78"
301,Coopers Square Shopping Centre,DE14 1DQ,35770,70,"301 Coopers Square Shopping Centre DE14 1DQ 35,770 70"
302,Imperial Park,BS13 0HR,36046,20,"302 Imperial Park BS13 0HR 36,046 20"
303,Pavilions Shopping Centre,UB8 1LN,36139,88,"303 Pavilions Shopping Centre UB8 1LN 36,139 88"
304,Corby Town Centre,NN17 1PD,36199,132,"304 Corby Town Centre NN17 1PD 36,199 132"
305,Castle Mall Shopping Centre,NR1 3DD,36232,85,"305 Castle Mall Shopping Centre NR1 3DD 36,232 85"
306,Broad Street Mall,RG1 7QE,37160,88,"306 Broad Street Mall RG1 7QE 37,160 88"
307,Birtles Shopping Centre,M22 5RE,37161,55,"307 Birtles Shopping Centre M22 5RE 37,161 55"
308,Castle Dene Shopping Centre,SR8 1AL,37161,107,"308 Castle Dene Shopping Centre SR8 1AL 37,161 107"
309,Freshney Place Shopping Centre,DN31 1ED,37161,100,"309 Freshney Place Shopping Centre DN31 1ED 37,161 100"
310,Whitefriars Shopping Centre,CT1 2JP,37161,38,"310 Whitefriars Shopping Centre CT1 2JP 37,161 38"
311,Strand Shopping Centre,L20 4SZ,37161,137,"311 Strand Shopping Centre L20 4SZ 37,161 137"
312,The Broadway Shopping Centre,DA6 7JN,37161,62,"312 The Broadway Shopping Centre DA6 7JN 37,161 62"
313,Cheshire Oaks Designer Outlet,CH65 9JJ,37254,161,"313 Cheshire Oaks Designer Outlet CH65 9JJ 37,254 161"
314,The Junction Hull,HU3 4SA,37533,11,"314 The Junction Hull HU3 4SA 37,533 11"
315,Yate Shopping Centre,BS37 4AP,38090,104,"315 Yate Shopping Centre BS37 4AP 38,090 104"
316,The Chimes Shopping Centre,UB8 1LA,39019,75,"316 The Chimes Shopping Centre UB8 1LA 39,019 75"
317,Cascades Shopping Centre,PO1 4RL,39019,60,"317 Cascades Shopping Centre PO1 4RL 39,019 60"
318,Arndale Centre,BN21 3NW,39019,76,"318 Arndale Centre BN21 3NW 39,019 76"
319,Grafton Centre,CB1 1PS,39019,79,"319 Grafton Centre CB1 1PS 39,019 79"
320,The Glades Shopping Centre,BR1 1DN,39112,134,"320 The Glades Shopping Centre BR1 1DN 39,112 134"
321,Fosse Shopping Park,LE3 2HX,39484,33,"321 Fosse Shopping Park LE3 2HX 39,484 33"
322,Midsummer Place,MK9 3ES,39948,50,"322 Midsummer Place MK9 3ES 39,948 50"
323,Cleveland Shopping Centre,TS1 2PH,39948,75,"323 Cleveland Shopping Centre TS1 2PH 39,948 75"
324,Harvey Centre,CM20 1XR,40448,65,"324 Harvey Centre CM20 1XR 40,448 65"
325,Mell Square,B91 3BG,41806,85,"325 Mell Square B91 3BG 41,806 85"
326,The Grange Shopping Centre,CH41 2XX,41835,120,"326 The Grange Shopping Centre CH41 2XX 41,835 120"
327,County Mall Shopping Centre,RH10 1FD,42271,106,"327 County Mall Shopping Centre RH10 1FD 42,271 106"
328,Charter Walk Shopping Centre,BB11 1EA,43572,95,"328 Charter Walk Shopping Centre BB11 1EA 43,572 95"
329,Churchill Square Shopping Centre,BN1 2RG,43664,84,"329 Churchill Square Shopping Centre BN1 2RG 43,664 84"
330,Broadmarsh Shopping Centre,NG1 7LL,44227,90,"330 Broadmarsh Shopping Centre NG1 7LL 44,227 90"
331,Fareham Shopping Centre,PO16 0PQ,45058,90,"331 Fareham Shopping Centre PO16 0PQ 45,058 90"
332,New Mersey Retail Park,L24 8AB,45522,25,"332 New Mersey Retail Park L24 8AB 45,522 25"
333,The Spindles Shopping Centre,OL1 1UD,45523,55,"333 The Spindles Shopping Centre OL1 1UD 45,523 55"
334,The Liberty Shopping Centre,RM1 3EE,45634,90,"334 The Liberty Shopping Centre RM1 3EE 45,634 90"
335,Dolphin Shopping Centre,BH15 1SP,46173,104,"335 Dolphin Shopping Centre BH15 1SP 46,173 104"
336,Halton Lea Shopping Centre,WA7 2EU,46451,100,"336 Halton Lea Shopping Centre WA7 2EU 46,451 100"
337,Chequers Shopping Centre,ME14 1BS,46451,77,"337 Chequers Shopping Centre ME14 1BS 46,451 77"
338,The Lanes Shopping Centre,CA3 8NX,46451,63,"338 The Lanes Shopping Centre CA3 8NX 46,451 63"
339,The Mander Centre,WV1 3NH,46452,130,"339 The Mander Centre WV1 3NH 46,452 130"
340,The Peacocks,GU21 1GA,46452,87,"340 The Peacocks GU21 1GA 46,452 87"
341,Gracechurch Shopping Centre,B72 1PH,46452,92,"341 Gracechurch Shopping Centre B72 1PH 46,452 92"
342,Merrion Centre,LS2 8LY,46452,78,"342 Merrion Centre LS2 8LY 46,452 78"
343,The Brewery,RM1 1RR,47380,29,"343 The Brewery RM1 1RR 47,380 29"
344,Shopping City,N22 6YQ,47659,88,"344 Shopping City N22 6YQ 47,659 88"
345,Clifton Moor Centre,YO30 4XU,48339,30,"345 Clifton Moor Centre YO30 4XU 48,339 30"
346,Southside,SW18 4TF,48774,110,"346 Southside SW18 4TF 48,774 110"
347,The Galleries Shopping Centre,NE38 7SD,49856,90,"347 The Galleries Shopping Centre NE38 7SD 49,856 90"
348,The Shires Shopping Centre,LE1 4FP,50001,78,"348 The Shires Shopping Centre LE1 4FP 50,001 78"
349,Eagle Centre,DE1 2NQ,51000,85,"349 Eagle Centre DE1 2NQ 51,000 85"
350,Whitgift Shopping Centre,CR0 1LP,51096,155,"350 Whitgift Shopping Centre CR0 1LP 51,096 155"
351,Middleton Grange Shopping Centre,TS24 7RZ,51747,131,"351 Middleton Grange Shopping Centre TS24 7RZ 51,747 131"
352,The Potteries Shopping Centre,ST1 1PP,52118,91,"352 The Potteries Shopping Centre ST1 1PP 52,118 91"
353,Brunel Shopping Centre,SN1 1LH,52490,112,"353 Brunel Shopping Centre SN1 1LH 52,490 112"
354,Chapelfield,NR1 3QL,52490,95,"354 Chapelfield NR1 3QL 52,490 95"
355,Retail World,S60 1TG,53883,33,"355 Retail World S60 1TG 53,883 33"
356,Middlebrook Sports & Retail Village,BL3 5EN,53883,55,"356 Middlebrook Sports & Retail Village BL3 5EN 53,883 55"
357,Edmonton Green Shopping Centre,N9 0BW,54999,135,"357 Edmonton Green Shopping Centre N9 0BW 54,999 135"
358,The Bentall Centre,KT1 1TP,55928,90,"358 The Bentall Centre KT1 1TP 55,928 90"
359,Castlepoint,BH8 9UW,59922,28,"359 Castlepoint BH8 9UW 59,922 28"
360,White Rose Shopping Centre,LS11 8LU,60387,92,"360 White Rose Shopping Centre LS11 8LU 60,387 92"
361,Blackburn Shopping Centre,BB1 5AF,60387,120,"361 Blackburn Shopping Centre BB1 5AF 60,387 120"
362,Touchwood,B91 3QE,61780,90,"362 Touchwood B91 3QE 61,780 90"
363,The Oracle Shopping Centre,RG1 2AG,65032,102,"363 The Oracle Shopping Centre RG1 2AG 65,032 102"
364,The Eastgate Shopping Centre,SS14 1EB,65032,115,"364 The Eastgate Shopping Centre SS14 1EB 65,032 115"
365,The Harlequin,WD17 2UA,65497,155,"365 The Harlequin WD17 2UA 65,497 155"
366,Frenchgate Shopping Centre,DN1 1SW,66935,125,"366 Frenchgate Shopping Centre DN1 1SW 66,935 125"
367,Queensgate Shopping Centre,PE1 1NT,69677,85,"367 Queensgate Shopping Centre PE1 1NT 69,677 85"
368,Telford Shopping Centre,TF3 4BX,69869,120,"368 Telford Shopping Centre TF3 4BX 69,869 120"
369,Arndale Shopping Centre,LU1 2LJ,70049,120,"369 Arndale Shopping Centre LU1 2LJ 70,049 120"
370,Centrale,CR0 1TY,74322,43,"370 Centrale CR0 1TY 74,322 43"
371,West Quay Shopping Centre,SO14 7EG,74323,80,"371 West Quay Shopping Centre SO14 7EG 74,323 80"
372,Victoria Shopping Centre,NG1 3QN,76180,120,"372 Victoria Shopping Centre NG1 3QN 76,180 120"
373,Brent Cross Shopping Centre,NW4 3FP,78413,109,"373 Brent Cross Shopping Centre NW4 3FP 78,413 109"
374,Festival Place,RG21 7LJ,78968,170,"374 Festival Place RG21 7LJ 78,968 170"
375,The Mall At Cribbs Causeway,BS34 5DG,79811,132,"375 The Mall At Cribbs Causeway BS34 5DG 79,811 132"
376,Kingfisher Shopping Centre,B97 4HJ,97093,144,"376 Kingfisher Shopping Centre B97 4HJ 97,093 144"
377,Eldon Square Shopping Centre,NE1 7JB,100986,148,"377 Eldon Square Shopping Centre NE1 7JB 100,986 148"
378,Bullring,B5 5DB,110000,146,"378 Bullring B5 5DB 110,000 146"
379,Arndale Centre,M4 3AQ,116129,225,"379 Arndale Centre M4 3AQ 116,129 225"
380,Thecentre:mk,MK9 3ES,125419,200,"380 Thecentre:mk MK9 3ES 125,419 200"
381,Lakeside,RM20 2ZP,126534,310,"381 Lakeside RM20 2ZP 126,534 310"
382,The Trafford Centre,M17 8AA,130025,278,"382 The Trafford Centre M17 8AA 130,025 278"
383,Meadowhall,S9 1EP,135000,285,"383 Meadowhall S9 1EP 135,000 285"
384,Bluewater,DA9 9BZ,153290,324,"384 Bluewater DA9 9BZ 153,290 324"
385,Merry Hill,DY5 1QX,157471,219,"385 Merry Hill DY5 1QX 157,471 219"
386,Metrocentre,NE11 9YG,190447,334,"386 Metrocentre NE11 9YG 190,447 334"
