Id,ShopDate,Store,Item,Shelf,Unit,Quantity, Price 
340,6/16/2017,Sainsbury,Special K red berries,Groceries,500gm box,2, 3.14 
341,6/16/2017,Sainsbury,Multigrain bread,Groceries,500 gm loaf,2, 0.97 
342,6/16/2017,Sainsbury,Butter,Dairy,250 gm pack,1, 1.44 
343,6/16/2017,Sainsbury,Teabags,Groceries,Box of 80,1, 1.27 
344,6/16/2017,Sainsbury,Vimto squash,Groceries,Standard bottle,1, 1.37 
345,6/16/2017,Sainsbury,Tomato ketchup,Groceries,Standard bottle,1, 0.90 
346,6/16/2017,Sainsbury,Eggs,Groceries,Box of 12 large,1, 1.90 
347,6/21/2017,Marks and Spencer,Gala apples,Fruit and veg,Kilogram,1, 0.91 
348,6/21/2017,Marks and Spencer,Bananas,Fruit and veg,Kilogram,1, 0.82 
349,6/21/2017,Marks and Spencer,Chicken portions,Meat,Kilogram,1, 1.75 
350,6/21/2017,Marks and Spencer,Activia yoghurts,Dairy,4 pack,1, 1.49 
351,6/21/2017,Marks and Spencer,Own brand yoghurts,Dairy,Each,3, 0.51 
352,6/21/2017,Marks and Spencer,Cheddar,Dairy,Kilogram,1, 2.57 
353,6/21/2017,Marks and Spencer,Special K red berries,Groceries,500gm box,1, 3.44 
354,6/21/2017,Marks and Spencer,Beef mince,Meat,Kilogram,1, 5.21 
355,6/21/2017,Marks and Spencer,Multigrain bread,Groceries,500 gm loaf,1, 1.10 
356,6/21/2017,Marks and Spencer,Onions,Fruit and veg,Kilogram,1, 0.67 
357,6/21/2017,Marks and Spencer,Teabags,Groceries,Box of 80,1, 1.37 
358,6/21/2017,Marks and Spencer,Vimto squash,Groceries,Standard bottle,2, 1.49 
359,6/21/2017,Marks and Spencer,Margarita pizzas,Groceries,"12"" diameter",2, 2.92 
360,6/25/2017,Tesco,Gala apples,Fruit and veg,Kilogram,3, 0.78 
361,6/25/2017,Tesco,Bramley apples,Fruit and veg,Kilogram,1, 0.98 
362,6/25/2017,Tesco,Broccoli,Fruit and veg,Kilogram,2, 0.61 
363,6/25/2017,Tesco,Chicken portions,Meat,Kilogram,1, 1.48 
364,6/25/2017,Tesco,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.23 
365,6/25/2017,Tesco,Activia yoghurts,Dairy,4 pack,1, 1.28 
366,6/25/2017,Tesco,Own brand yoghurts,Dairy,Each,1, 0.44 
367,6/25/2017,Tesco,Special K red berries,Groceries,500gm box,3, 3.05 
368,6/25/2017,Tesco,Beef mince,Meat,Kilogram,1, 4.54 
369,6/25/2017,Tesco,Multigrain bread,Groceries,500 gm loaf,3, 0.94 
370,6/25/2017,Tesco,White sliced bread,Groceries,500 gm loaf,1, 0.73 
371,6/25/2017,Tesco,Onions,Fruit and veg,Kilogram,3, 0.58 
372,6/25/2017,Tesco,Coffee beans,Groceries,Standard box,1, 2.34 
373,7/13/2017,Tesco,Gala apples,Fruit and veg,Kilogram,1, 0.80 
374,7/13/2017,Tesco,Bananas,Fruit and veg,Kilogram,1, 0.70 
375,7/13/2017,Tesco,Broccoli,Fruit and veg,Kilogram,3, 0.60 
376,7/13/2017,Tesco,Carrots,Fruit and veg,Kilogram,3, 0.49 
377,7/13/2017,Tesco,Activia yoghurts,Dairy,4 pack,2, 1.30 
378,7/13/2017,Tesco,Own brand yoghurts,Dairy,Each,3, 0.46 
379,7/13/2017,Tesco,Cheddar,Dairy,Kilogram,1, 2.22 
380,7/13/2017,Tesco,Muesli,Groceries,Kilogram bag,1, 2.52 
381,7/13/2017,Tesco,Special K red berries,Groceries,500gm box,1, 3.05 
382,7/13/2017,Tesco,Beef mince,Meat,Kilogram,1, 4.63 
383,7/13/2017,Tesco,Multigrain bread,Groceries,500 gm loaf,3, 0.95 
384,7/13/2017,Tesco,White sliced bread,Groceries,500 gm loaf,1, 0.74 
385,7/13/2017,Tesco,Potatoes,Fruit and veg,Kilogram,3, 0.70 
386,7/13/2017,Tesco,Onions,Fruit and veg,Kilogram,2, 0.58 
387,7/13/2017,Tesco,Teabags,Groceries,Box of 80,3, 1.17 
388,7/13/2017,Tesco,Coffee beans,Groceries,Standard box,1, 2.36 
389,7/13/2017,Tesco,Tomato ketchup,Groceries,Standard bottle,1, 0.83 
390,7/13/2017,Tesco,Eggs,Groceries,Box of 12 large,1, 1.76 
391,7/18/2017,Tesco,Bramley apples,Fruit and veg,Kilogram,2, 1.00 
392,7/18/2017,Tesco,Bananas,Fruit and veg,Kilogram,2, 0.71 
393,7/18/2017,Tesco,Semi-skimmed milk,Dairy,4 pint bottle,3, 1.20 
394,7/18/2017,Tesco,Own brand yoghurts,Dairy,Each,1, 0.46 
395,7/18/2017,Tesco,Cheddar,Dairy,Kilogram,2, 2.20 
396,7/18/2017,Tesco,Muesli,Groceries,Kilogram bag,1, 2.50 
397,7/18/2017,Tesco,Multigrain bread,Groceries,500 gm loaf,3, 0.95 
398,7/18/2017,Tesco,Butter,Dairy,250 gm pack,2, 1.42 
399,7/18/2017,Tesco,Coffee beans,Groceries,Standard box,2, 2.32 
400,7/18/2017,Tesco,Baked beans,Groceries,4 tin pack,2, 1.37 
401,7/18/2017,Tesco,Eggs,Groceries,Box of 12 large,1, 1.80 
402,7/20/2017,Asda,Broccoli,Fruit and veg,Kilogram,1, 0.57 
403,7/20/2017,Asda,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.11 
404,7/20/2017,Asda,Activia yoghurts,Dairy,4 pack,1, 1.26 
405,7/20/2017,Asda,Own brand yoghurts,Dairy,Each,2, 0.41 
406,7/20/2017,Asda,Cheddar,Dairy,Kilogram,1, 2.08 
407,7/20/2017,Asda,Special K red berries,Groceries,500gm box,1, 2.87 
408,7/20/2017,Asda,Beef mince,Meat,Kilogram,1, 4.36 
409,7/20/2017,Asda,Multigrain bread,Groceries,500 gm loaf,1, 0.91 
410,7/20/2017,Asda,White sliced bread,Groceries,500 gm loaf,2, 0.71 
411,7/20/2017,Asda,Potatoes,Fruit and veg,Kilogram,1, 0.65 
412,7/20/2017,Asda,Butter,Dairy,250 gm pack,1, 1.34 
413,7/20/2017,Asda,Teabags,Groceries,Box of 80,1, 1.17 
414,7/20/2017,Asda,Eggs,Groceries,Box of 12 large,3, 1.69 
415,7/22/2017,Tesco,Broccoli,Fruit and veg,Kilogram,1, 0.60 
416,7/22/2017,Tesco,Cheddar,Dairy,Kilogram,1, 2.17 
417,7/22/2017,Tesco,Muesli,Groceries,Kilogram bag,3, 2.54 
418,7/22/2017,Tesco,Multigrain bread,Groceries,500 gm loaf,1, 0.94 
419,7/22/2017,Tesco,Potatoes,Fruit and veg,Kilogram,3, 0.69 
420,7/22/2017,Tesco,Butter,Dairy,250 gm pack,1, 1.40 
421,7/22/2017,Tesco,Coffee beans,Groceries,Standard box,3, 2.34 
422,7/22/2017,Tesco,Vimto squash,Groceries,Standard bottle,1, 1.33 
423,7/22/2017,Tesco,Eggs,Groceries,Box of 12 large,1, 1.78 
424,7/27/2017,Independent,Bramley apples,Fruit and veg,Kilogram,1, 1.25 
425,7/27/2017,Independent,Bananas,Fruit and veg,Kilogram,2, 0.86 
426,7/27/2017,Independent,Broccoli,Fruit and veg,Kilogram,1, 0.74 
427,7/27/2017,Independent,Carrots,Fruit and veg,Kilogram,1, 0.63 
428,7/27/2017,Independent,Chicken portions,Meat,Kilogram,1, 1.91 
429,7/27/2017,Independent,Activia yoghurts,Dairy,4 pack,1, 1.62 
430,7/27/2017,Independent,Cheddar,Dairy,Kilogram,2, 2.70 
431,7/27/2017,Independent,Muesli,Groceries,Kilogram bag,2, 3.12 
432,7/27/2017,Independent,Special K red berries,Groceries,500gm box,3, 3.77 
433,7/27/2017,Independent,Beef mince,Meat,Kilogram,1, 5.58 
434,7/27/2017,Independent,Multigrain bread,Groceries,500 gm loaf,1, 1.19 
435,7/27/2017,Independent,Potatoes,Fruit and veg,Kilogram,2, 0.86 
436,7/27/2017,Independent,Tomato ketchup,Groceries,Standard bottle,3, 1.07 
437,7/27/2017,Independent,Margarita pizzas,Groceries,"12"" diameter",1, 3.19 
438,7/29/2017,Sainsbury,Bramley apples,Fruit and veg,Kilogram,1, 1.03 
439,7/29/2017,Sainsbury,Carrots,Fruit and veg,Kilogram,3, 0.51 
440,7/29/2017,Sainsbury,Chicken portions,Meat,Kilogram,1, 1.55 
441,7/29/2017,Sainsbury,Cheddar,Dairy,Kilogram,1, 2.30 
442,7/29/2017,Sainsbury,Muesli,Groceries,Kilogram bag,2, 2.62 
443,7/29/2017,Sainsbury,Special K red berries,Groceries,500gm box,1, 3.14 
444,7/29/2017,Sainsbury,Beef mince,Meat,Kilogram,2, 4.67 
445,7/29/2017,Sainsbury,White sliced bread,Groceries,500 gm loaf,1, 0.78 
446,7/29/2017,Sainsbury,Potatoes,Fruit and veg,Kilogram,1, 0.73 
447,7/29/2017,Sainsbury,Onions,Fruit and veg,Kilogram,2, 0.64 
448,7/29/2017,Sainsbury,Teabags,Groceries,Box of 80,2, 1.27 
449,7/29/2017,Sainsbury,Coffee beans,Groceries,Standard box,1, 2.39 
450,7/29/2017,Sainsbury,Vimto squash,Groceries,Standard bottle,1, 1.40 
451,7/29/2017,Sainsbury,Margarita pizzas,Groceries,"12"" diameter",2, 2.57 
452,8/3/2017,Marks and Spencer,Gala apples,Fruit and veg,Kilogram,1, 0.90 
453,8/3/2017,Marks and Spencer,Bananas,Fruit and veg,Kilogram,3, 0.79 
454,8/3/2017,Marks and Spencer,Carrots,Fruit and veg,Kilogram,2, 0.56 
455,8/3/2017,Marks and Spencer,Chicken portions,Meat,Kilogram,2, 1.75 
456,8/3/2017,Marks and Spencer,Activia yoghurts,Dairy,4 pack,1, 1.53 
457,8/3/2017,Marks and Spencer,Own brand yoghurts,Dairy,Each,1, 0.52 
458,8/3/2017,Marks and Spencer,Cheddar,Dairy,Kilogram,1, 2.50 
459,8/3/2017,Marks and Spencer,Beef mince,Meat,Kilogram,1, 5.30 
460,8/3/2017,Marks and Spencer,White sliced bread,Groceries,500 gm loaf,1, 0.88 
461,8/3/2017,Marks and Spencer,Potatoes,Fruit and veg,Kilogram,2, 0.81 
462,8/3/2017,Marks and Spencer,Onions,Fruit and veg,Kilogram,1, 0.67 
463,8/3/2017,Marks and Spencer,Butter,Dairy,250 gm pack,1, 1.59 
464,8/3/2017,Marks and Spencer,Vimto squash,Groceries,Standard bottle,1, 1.53 
465,8/7/2017,Asda,Bramley apples,Fruit and veg,Kilogram,1, 0.96 
466,8/7/2017,Asda,Carrots,Fruit and veg,Kilogram,1, 0.48 
467,8/7/2017,Asda,Chicken portions,Meat,Kilogram,1, 1.46 
468,8/7/2017,Asda,Activia yoghurts,Dairy,4 pack,1, 1.26 
469,8/7/2017,Asda,Own brand yoghurts,Dairy,Each,1, 0.42 
470,8/7/2017,Asda,Multigrain bread,Groceries,500 gm loaf,1, 0.93 
471,8/7/2017,Asda,White sliced bread,Groceries,500 gm loaf,3, 0.70 
472,8/7/2017,Asda,Butter,Dairy,250 gm pack,2, 1.31 
473,8/7/2017,Asda,Teabags,Groceries,Box of 80,3, 1.16 
474,8/7/2017,Asda,Margarita pizzas,Groceries,"12"" diameter",3, 2.39 
475,8/18/2017,Waitrose,Bramley apples,Fruit and veg,Kilogram,1, 1.20 
476,8/18/2017,Waitrose,Broccoli,Fruit and veg,Kilogram,1, 0.73 
477,8/18/2017,Waitrose,Carrots,Fruit and veg,Kilogram,1, 0.59 
478,8/18/2017,Waitrose,Semi-skimmed milk,Dairy,4 pint bottle,3, 1.42 
479,8/18/2017,Waitrose,Cheddar,Dairy,Kilogram,3, 2.68 
480,8/18/2017,Waitrose,Multigrain bread,Groceries,500 gm loaf,1, 1.13 
481,8/18/2017,Waitrose,Potatoes,Fruit and veg,Kilogram,3, 0.85 
482,8/18/2017,Waitrose,Butter,Dairy,250 gm pack,1, 1.66 
483,8/18/2017,Waitrose,Vimto squash,Groceries,Standard bottle,1, 1.59 
484,8/18/2017,Waitrose,Baked beans,Groceries,4 tin pack,1, 1.65 
485,8/18/2017,Waitrose,Eggs,Groceries,Box of 12 large,1, 2.14 
486,8/18/2017,Waitrose,Margarita pizzas,Groceries,"12"" diameter",3, 3.07 
487,8/20/2017,Independent,Gala apples,Fruit and veg,Kilogram,1, 1.02 
488,8/20/2017,Independent,Bramley apples,Fruit and veg,Kilogram,3, 1.26 
489,8/20/2017,Independent,Chicken portions,Meat,Kilogram,1, 1.90 
490,8/20/2017,Independent,Semi-skimmed milk,Dairy,4 pint bottle,2, 1.52 
491,8/20/2017,Independent,Own brand yoghurts,Dairy,Each,3, 0.56 
492,8/20/2017,Independent,Beef mince,Meat,Kilogram,1, 5.58 
493,8/20/2017,Independent,Multigrain bread,Groceries,500 gm loaf,2, 1.20 
494,8/20/2017,Independent,Potatoes,Fruit and veg,Kilogram,2, 0.89 
495,8/20/2017,Independent,Onions,Fruit and veg,Kilogram,1, 0.75 
496,8/20/2017,Independent,Teabags,Groceries,Box of 80,3, 1.52 
497,8/20/2017,Independent,Baked beans,Groceries,4 tin pack,1, 1.77 
498,8/20/2017,Independent,Eggs,Groceries,Box of 12 large,1, 2.26 
499,8/20/2017,Independent,Margarita pizzas,Groceries,"12"" diameter",1, 3.07 
500,8/25/2017,Aldi,Bramley apples,Fruit and veg,Kilogram,2, 0.90 
501,8/25/2017,Aldi,Bananas,Fruit and veg,Kilogram,1, 0.61 
502,8/25/2017,Aldi,Broccoli,Fruit and veg,Kilogram,3, 0.54 
503,8/25/2017,Aldi,Carrots,Fruit and veg,Kilogram,1, 0.43 
504,8/25/2017,Aldi,Activia yoghurts,Dairy,4 pack,2, 1.19 
505,8/25/2017,Aldi,Own brand yoghurts,Dairy,Each,3, 0.40 
506,8/25/2017,Aldi,Cheddar,Dairy,Kilogram,1, 1.97 
507,8/25/2017,Aldi,Special K red berries,Groceries,500gm box,1, 2.72 
508,8/25/2017,Aldi,Multigrain bread,Groceries,500 gm loaf,1, 0.87 
509,8/25/2017,Aldi,Butter,Dairy,250 gm pack,1, 1.23 
510,8/25/2017,Aldi,Teabags,Groceries,Box of 80,1, 1.10 
511,8/25/2017,Aldi,Coffee beans,Groceries,Standard box,1, 2.11 
512,8/25/2017,Aldi,Baked beans,Groceries,4 tin pack,3, 1.28 
513,8/25/2017,Aldi,Tomato ketchup,Groceries,Standard bottle,1, 0.75 
514,8/25/2017,Aldi,Margarita pizzas,Groceries,"12"" diameter",1, 2.19 
515,9/11/2017,Aldi,Bramley apples,Fruit and veg,Kilogram,1, 0.89 
516,9/11/2017,Aldi,Bananas,Fruit and veg,Kilogram,1, 0.64 
517,9/11/2017,Aldi,Chicken portions,Meat,Kilogram,1, 1.37 
518,9/11/2017,Aldi,Activia yoghurts,Dairy,4 pack,1, 1.14 
519,9/11/2017,Aldi,Beef mince,Meat,Kilogram,2, 4.13 
520,9/11/2017,Aldi,White sliced bread,Groceries,500 gm loaf,3, 0.69 
521,9/11/2017,Aldi,Potatoes,Fruit and veg,Kilogram,2, 0.65 
522,9/11/2017,Aldi,Butter,Dairy,250 gm pack,1, 1.24 
523,9/11/2017,Aldi,Coffee beans,Groceries,Standard box,1, 2.02 
524,9/11/2017,Aldi,Vimto squash,Groceries,Standard bottle,1, 1.18 
525,9/11/2017,Aldi,Tomato ketchup,Groceries,Standard bottle,1, 0.78 
526,9/11/2017,Aldi,Eggs,Groceries,Box of 12 large,3, 1.63 
527,9/11/2017,Aldi,Margarita pizzas,Groceries,"12"" diameter",2, 2.24 
528,9/12/2017,Marks and Spencer,Bramley apples,Fruit and veg,Kilogram,1, 1.12 
529,9/12/2017,Marks and Spencer,Carrots,Fruit and veg,Kilogram,3, 0.57 
530,9/12/2017,Marks and Spencer,Semi-skimmed milk,Dairy,4 pint bottle,2, 1.39 
531,9/12/2017,Marks and Spencer,Activia yoghurts,Dairy,4 pack,1, 1.49 
532,9/12/2017,Marks and Spencer,Own brand yoghurts,Dairy,Each,1, 0.50 
533,9/12/2017,Marks and Spencer,Muesli,Groceries,Kilogram bag,2, 2.84 
534,9/12/2017,Marks and Spencer,White sliced bread,Groceries,500 gm loaf,1, 0.85 
535,9/12/2017,Marks and Spencer,Potatoes,Fruit and veg,Kilogram,1, 0.82 
536,9/12/2017,Marks and Spencer,Butter,Dairy,250 gm pack,1, 1.60 
537,9/12/2017,Marks and Spencer,Teabags,Groceries,Box of 80,1, 1.39 
538,9/12/2017,Marks and Spencer,Coffee beans,Groceries,Standard box,1, 2.62 
539,9/12/2017,Marks and Spencer,Vimto squash,Groceries,Standard bottle,1, 1.52 
540,9/12/2017,Marks and Spencer,Eggs,Groceries,Box of 12 large,1, 2.03 
541,9/12/2017,Marks and Spencer,Margarita pizzas,Groceries,"12"" diameter",3, 2.92 
542,9/15/2017,Sainsbury,Gala apples,Fruit and veg,Kilogram,3, 0.83 
543,9/15/2017,Sainsbury,Bramley apples,Fruit and veg,Kilogram,1, 1.07 
544,9/15/2017,Sainsbury,Carrots,Fruit and veg,Kilogram,3, 0.51 
545,9/15/2017,Sainsbury,Activia yoghurts,Dairy,4 pack,1, 1.39 
546,9/15/2017,Sainsbury,Own brand yoghurts,Dairy,Each,1, 0.48 
547,9/15/2017,Sainsbury,Special K red berries,Groceries,500gm box,3, 3.14 
548,9/15/2017,Sainsbury,Beef mince,Meat,Kilogram,3, 4.72 
549,9/15/2017,Sainsbury,Multigrain bread,Groceries,500 gm loaf,1, 1.02 
550,9/15/2017,Sainsbury,White sliced bread,Groceries,500 gm loaf,1, 0.80 
551,9/15/2017,Sainsbury,Butter,Dairy,250 gm pack,2, 1.48 
552,9/15/2017,Sainsbury,Coffee beans,Groceries,Standard box,2, 2.39 
553,9/15/2017,Sainsbury,Baked beans,Groceries,4 tin pack,2, 1.46 
554,9/15/2017,Sainsbury,Eggs,Groceries,Box of 12 large,3, 1.85 
555,9/19/2017,Co-op,Bananas,Fruit and veg,Kilogram,1, 0.77 
556,9/19/2017,Co-op,Broccoli,Fruit and veg,Kilogram,3, 0.67 
557,9/19/2017,Co-op,Chicken portions,Meat,Kilogram,1, 1.63 
558,9/19/2017,Co-op,Own brand yoghurts,Dairy,Each,3, 0.48 
559,9/19/2017,Co-op,Special K red berries,Groceries,500gm box,1, 3.36 
560,9/19/2017,Co-op,Multigrain bread,Groceries,500 gm loaf,2, 1.04 
561,9/19/2017,Co-op,White sliced bread,Groceries,500 gm loaf,1, 0.81 
562,9/19/2017,Co-op,Potatoes,Fruit and veg,Kilogram,1, 0.76 
563,9/19/2017,Co-op,Teabags,Groceries,Box of 80,1, 1.33 
564,9/19/2017,Co-op,Vimto squash,Groceries,Standard bottle,3, 1.44 
565,9/19/2017,Co-op,Tomato ketchup,Groceries,Standard bottle,2, 0.93 
566,9/19/2017,Co-op,Eggs,Groceries,Box of 12 large,3, 2.01 
567,9/24/2017,Waitrose,Gala apples,Fruit and veg,Kilogram,1, 0.97 
568,9/24/2017,Waitrose,Bananas,Fruit and veg,Kilogram,3, 0.86 
569,9/24/2017,Waitrose,Activia yoghurts,Dairy,4 pack,1, 1.58 
570,9/24/2017,Waitrose,Cheddar,Dairy,Kilogram,2, 2.70 
571,9/24/2017,Waitrose,Muesli,Groceries,Kilogram bag,3, 3.00 
572,9/24/2017,Waitrose,White sliced bread,Groceries,500 gm loaf,1, 0.88 
573,9/24/2017,Waitrose,Butter,Dairy,250 gm pack,1, 1.69 
574,9/24/2017,Waitrose,Teabags,Groceries,Box of 80,2, 1.45 
575,9/24/2017,Waitrose,Coffee beans,Groceries,Standard box,1, 2.71 
576,9/24/2017,Waitrose,Baked beans,Groceries,4 tin pack,1, 1.65 
577,9/24/2017,Waitrose,Tomato ketchup,Groceries,Standard bottle,1, 1.00 
578,10/13/2017,Aldi,Gala apples,Fruit and veg,Kilogram,1, 0.70 
579,10/13/2017,Aldi,Bananas,Fruit and veg,Kilogram,1, 0.63 
580,10/13/2017,Aldi,Broccoli,Fruit and veg,Kilogram,1, 0.53 
581,10/13/2017,Aldi,Chicken portions,Meat,Kilogram,1, 1.33 
582,10/13/2017,Aldi,Cheddar,Dairy,Kilogram,1, 2.02 
583,10/13/2017,Aldi,Muesli,Groceries,Kilogram bag,1, 2.27 
584,10/13/2017,Aldi,Beef mince,Meat,Kilogram,3, 4.04 
585,10/13/2017,Aldi,White sliced bread,Groceries,500 gm loaf,2, 0.65 
586,10/13/2017,Aldi,Potatoes,Fruit and veg,Kilogram,1, 0.65 
587,10/13/2017,Aldi,Coffee beans,Groceries,Standard box,1, 2.13 
588,10/13/2017,Aldi,Vimto squash,Groceries,Standard bottle,1, 1.19 
589,10/13/2017,Aldi,Baked beans,Groceries,4 tin pack,1, 1.27 
590,10/13/2017,Aldi,Tomato ketchup,Groceries,Standard bottle,1, 0.76 
591,10/13/2017,Aldi,Eggs,Groceries,Box of 12 large,3, 1.67 
592,10/13/2017,Aldi,Margarita pizzas,Groceries,"12"" diameter",1, 2.29 
593,10/16/2017,Aldi,Gala apples,Fruit and veg,Kilogram,1, 0.71 
594,10/16/2017,Aldi,Bramley apples,Fruit and veg,Kilogram,3, 0.87 
595,10/16/2017,Aldi,Carrots,Fruit and veg,Kilogram,1, 0.43 
596,10/16/2017,Aldi,Own brand yoghurts,Dairy,Each,1, 0.40 
597,10/16/2017,Aldi,Muesli,Groceries,Kilogram bag,3, 2.32 
598,10/16/2017,Aldi,Special K red berries,Groceries,500gm box,1, 2.69 
599,10/16/2017,Aldi,Multigrain bread,Groceries,500 gm loaf,1, 0.87 
600,10/16/2017,Aldi,White sliced bread,Groceries,500 gm loaf,1, 0.66 
601,10/16/2017,Aldi,Potatoes,Fruit and veg,Kilogram,3, 0.61 
602,10/16/2017,Aldi,Butter,Dairy,250 gm pack,1, 1.28 
603,10/16/2017,Aldi,Coffee beans,Groceries,Standard box,1, 2.04 
604,10/16/2017,Aldi,Margarita pizzas,Groceries,"12"" diameter",1, 2.22 
605,10/17/2017,Sainsbury,Gala apples,Fruit and veg,Kilogram,1, 0.86 
606,10/17/2017,Sainsbury,Bananas,Fruit and veg,Kilogram,2, 0.74 
607,10/17/2017,Sainsbury,Broccoli,Fruit and veg,Kilogram,1, 0.64 
608,10/17/2017,Sainsbury,Chicken portions,Meat,Kilogram,1, 1.55 
609,10/17/2017,Sainsbury,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.23 
610,10/17/2017,Sainsbury,Activia yoghurts,Dairy,4 pack,2, 1.35 
611,10/17/2017,Sainsbury,Muesli,Groceries,Kilogram bag,1, 2.62 
612,10/17/2017,Sainsbury,Special K red berries,Groceries,500gm box,2, 3.17 
613,10/17/2017,Sainsbury,Beef mince,Meat,Kilogram,1, 4.67 
614,10/17/2017,Sainsbury,Potatoes,Fruit and veg,Kilogram,1, 0.73 
615,10/17/2017,Sainsbury,Onions,Fruit and veg,Kilogram,1, 0.64 
616,10/17/2017,Sainsbury,Coffee beans,Groceries,Standard box,3, 2.36 
617,10/17/2017,Sainsbury,Vimto squash,Groceries,Standard bottle,1, 1.40 
618,10/17/2017,Sainsbury,Baked beans,Groceries,4 tin pack,1, 1.44 
619,10/17/2017,Sainsbury,Margarita pizzas,Groceries,"12"" diameter",1, 2.64 
620,10/19/2017,Aldi,Bramley apples,Fruit and veg,Kilogram,1, 0.89 
621,10/19/2017,Aldi,Broccoli,Fruit and veg,Kilogram,1, 0.52 
622,10/19/2017,Aldi,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.10 
623,10/19/2017,Aldi,Own brand yoghurts,Dairy,Each,1, 0.39 
624,10/19/2017,Aldi,Cheddar,Dairy,Kilogram,1, 2.02 
625,10/19/2017,Aldi,Special K red berries,Groceries,500gm box,1, 2.72 
626,10/19/2017,Aldi,Multigrain bread,Groceries,500 gm loaf,1, 0.87 
627,10/19/2017,Aldi,Potatoes,Fruit and veg,Kilogram,1, 0.63 
628,10/19/2017,Aldi,Butter,Dairy,250 gm pack,3, 1.24 
629,10/19/2017,Aldi,Teabags,Groceries,Box of 80,3, 1.05 
630,10/19/2017,Aldi,Baked beans,Groceries,4 tin pack,2, 1.23 
631,10/19/2017,Aldi,Margarita pizzas,Groceries,"12"" diameter",1, 2.19 
632,11/8/2017,Aldi,Gala apples,Fruit and veg,Kilogram,1, 0.71 
633,11/8/2017,Aldi,Bramley apples,Fruit and veg,Kilogram,1, 0.89 
634,11/8/2017,Aldi,Broccoli,Fruit and veg,Kilogram,3, 0.53 
635,11/8/2017,Aldi,Chicken portions,Meat,Kilogram,2, 1.39 
636,11/8/2017,Aldi,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.10 
637,11/8/2017,Aldi,Activia yoghurts,Dairy,4 pack,3, 1.16 
638,11/8/2017,Aldi,Own brand yoghurts,Dairy,Each,1, 0.41 
639,11/8/2017,Aldi,Cheddar,Dairy,Kilogram,1, 2.04 
640,11/8/2017,Aldi,Muesli,Groceries,Kilogram bag,3, 2.24 
641,11/8/2017,Aldi,White sliced bread,Groceries,500 gm loaf,2, 0.68 
642,11/8/2017,Aldi,Onions,Fruit and veg,Kilogram,1, 0.55 
643,11/8/2017,Aldi,Teabags,Groceries,Box of 80,1, 1.09 
644,11/8/2017,Aldi,Coffee beans,Groceries,Standard box,1, 2.11 
645,11/8/2017,Aldi,Baked beans,Groceries,4 tin pack,1, 1.23 
646,11/10/2017,Aldi,Gala apples,Fruit and veg,Kilogram,3, 0.71 
647,11/10/2017,Aldi,Bramley apples,Fruit and veg,Kilogram,1, 0.90 
648,11/10/2017,Aldi,Broccoli,Fruit and veg,Kilogram,1, 0.53 
649,11/10/2017,Aldi,Carrots,Fruit and veg,Kilogram,2, 0.45 
650,11/10/2017,Aldi,Chicken portions,Meat,Kilogram,1, 1.34 
651,11/10/2017,Aldi,Activia yoghurts,Dairy,4 pack,1, 1.20 
652,11/10/2017,Aldi,Special K red berries,Groceries,500gm box,1, 2.78 
653,11/10/2017,Aldi,Beef mince,Meat,Kilogram,1, 4.04 
654,11/10/2017,Aldi,Multigrain bread,Groceries,500 gm loaf,1, 0.88 
655,11/10/2017,Aldi,White sliced bread,Groceries,500 gm loaf,1, 0.66 
656,11/10/2017,Aldi,Potatoes,Fruit and veg,Kilogram,1, 0.62 
657,11/10/2017,Aldi,Teabags,Groceries,Box of 80,2, 1.05 
658,11/10/2017,Aldi,Coffee beans,Groceries,Standard box,1, 2.09 
659,11/10/2017,Aldi,Vimto squash,Groceries,Standard bottle,1, 1.20 
660,11/10/2017,Aldi,Tomato ketchup,Groceries,Standard bottle,3, 0.78 
661,11/10/2017,Aldi,Eggs,Groceries,Box of 12 large,1, 1.61 
662,11/17/2017,Sainsbury,Bananas,Fruit and veg,Kilogram,3, 0.74 
663,11/17/2017,Sainsbury,Broccoli,Fruit and veg,Kilogram,1, 0.64 
664,11/17/2017,Sainsbury,Carrots,Fruit and veg,Kilogram,1, 0.52 
665,11/17/2017,Sainsbury,Chicken portions,Meat,Kilogram,1, 1.60 
666,11/17/2017,Sainsbury,Semi-skimmed milk,Dairy,4 pint bottle,2, 1.24 
667,11/17/2017,Sainsbury,Cheddar,Dairy,Kilogram,1, 2.26 
668,11/17/2017,Sainsbury,Beef mince,Meat,Kilogram,1, 4.85 
669,11/17/2017,Sainsbury,White sliced bread,Groceries,500 gm loaf,1, 0.77 
670,11/17/2017,Sainsbury,Potatoes,Fruit and veg,Kilogram,1, 0.74 
671,11/17/2017,Sainsbury,Butter,Dairy,250 gm pack,1, 1.49 
672,11/17/2017,Sainsbury,Coffee beans,Groceries,Standard box,3, 2.43 
673,11/17/2017,Sainsbury,Baked beans,Groceries,4 tin pack,1, 1.49 
674,11/18/2017,Aldi,Gala apples,Fruit and veg,Kilogram,1, 0.72 
675,11/18/2017,Aldi,Bananas,Fruit and veg,Kilogram,1, 0.64 
